Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.11263,0.046012,0.106429,0.078007,0.030694,0.008897,0.027355,0.067815
borg,0.062481,0.012092,0.009343,0.05791,-1.0,0.003583,0.003599,0.080576
datapro4j,0.082294,0.048342,0.081848,0.079885,0.06373,0.012789,0.044061,0.079781
ical4j,0.109496,0.035144,0.067285,0.07892,0.021744,0.003737,0.026608,0.059841
java2html,0.077059,0.040856,0.057537,0.130635,-1.0,0.0,0.042094,0.1053
jsapar,0.104182,0.050749,0.100654,0.077855,0.081927,0.0,0.070235,0.066674
jxls,0.074847,0.017699,0.010294,0.103388,-1.0,0.005296,0.008915,0.059288
logisim,0.067606,0.020942,0.040293,0.154089,-1.0,0.002938,0.010424,0.069778
marvin,0.091218,0.068668,0.078933,0.078802,0.062045,0.009381,0.063309,0.066965
nekohtml,0.088318,0.045023,0.080223,0.077711,0.050543,0.009042,0.040422,0.068722
