Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.058545,0.029273,0.043693,0.072368,0.04937,0.00887,0.042073,0.05592
borg,0.062102,0.027282,0.019418,0.065928,-1.0,0.002684,0.034279,0.048134
datapro4j,0.026912,0.018334,0.037274,0.096904,0.021362,0.006685,0.031353,0.055325
ical4j,0.03769,0.026833,0.041677,0.108114,0.022051,0.008245,0.025213,0.06534
java2html,0.127307,0.040462,0.045459,0.061644,-1.0,0.019495,0.070316,0.044917
jsapar,0.078584,0.03041,0.055927,0.047903,0.037658,0.015733,0.036974,0.056921
jxls,0.058081,0.02409,0.03466,0.065132,-1.0,0.010773,0.036519,0.047065
logisim,0.064863,0.02489,0.050666,0.083282,-1.0,0.008895,0.035416,0.04641
marvin,0.073827,0.039289,0.058288,0.07339,0.039893,0.007209,0.047148,0.069543
nekohtml,0.06112,0.023765,0.03412,0.095706,0.021566,0.004981,0.028574,0.054687
